,,Location,
ALBUTEROL SULFATE 2.5 MG/3 ML (0.083 %) SOLUTION FOR NEBULIZATION,PHRM,,
ALBUTEROL SULFATE 40 MG/48 ML (0.83 MG/ML) SOLUTION FOR NEBULIZATION,PHRM,,
ALBUTEROL SULFATE HFA 90 MCG/ACTUATION AEROSOL INHALER,VIT,,
ALENDRONATE 70 MG TABLET,STR,,
"ALFUZOSIN ER 10 MG TABLET,EXTENDED RELEASE 24 HR",STR,,
ALLOPURINOL 100 MG TABLET,PHRM,,
ALLOPURINOL 300 MG TABLET,STR,,
ALLOPURINOL 50 MG HALF TABLET,PHRM,,
ALPRAZOLAM 0.25 MG TABLET,STR,,
ALPRAZOLAM 0.5 MG TABLET,STR,,
ALPRAZOLAM 1 MG TABLET,STR,,
ALTEPLASE 1 MG INTRA-CATHETER SOLUTION,STR,,
ALTEPLASE 2 MG INTRA-CATHETER SOLUTION,STR,,
ALTEPLASE 50 MG IN STERILE WATER INFUSION SLW,STR,,
ALTEPLASE 50 MG INTRAVENOUS SOLUTION,STR,,
ALTEPLASE 50 MG IV PUSH SLW,STR,,
ALTEPLASE DRIP FOR PE,STR,,
ALTEPLASE INFUSION SLW,STR,,
ALTEPLASE INTRAPLEURAL,STR,,
ALUMINUM-MAG HYDROXIDE-SIMETHICONE 200 MG-200 MG-20 MG/5 ML ORAL SUSP,STR,,
ALVIMOPAN 12 MG CAPSULE,PHRM,,
AMANTADINE HCL 100 MG CAPSULE,STR,,
AMANTADINE HCL 50 MG/5 ML ORAL SOLUTION,STR,,
"AMANTADINE HCL ER 137 MG CAPSULE,EXTENDED RELEASE 24 HR",STR,,
AMBRISENTAN 10 MG TABLET,STR,,
AMIKACIN ONCE A DAY DOSING D5W 250 ML IVPB,STR,,
AMILORIDE 5 MG TABLET,STR,,
AMINOPHYLLINE 250 MG/10 ML INTRAVENOUS SOLUTION,STR,,
AMINOPHYLLINE 500 MG/20 ML INTRAVENOUS SOLUTION,STR,,
AMINOPHYLLINE INFUSION ADULT,STR,,
AMIODARONE 100 MG TABLET,STR,,
AMIODARONE 150 MG/100 ML D5W IVPB PYXIS MINIBAG,STR,,
AMIODARONE 200 MG TABLET,PHRM,,
"AMIODARONE 360 MG/200 ML (1.8 MG/ML) IN DEXTROSE, ISO-OSMOTIC IV",STR,,
AMIODARONE 50 MG/ML INTRAVENOUS SOLUTION,STR,,
AMIODARONE IV BOLUS,STR,,
AMITRIPTYLINE 10 MG TABLET,STR,,
AMITRIPTYLINE 25 MG TABLET,STR,,
AMITRIPTYLINE 50 MG TABLET,STR,,
AMIVANTAMAB-VMJW CHEMO INFUSION,STR,,
AMLODIPINE 10 MG TABLET,PHRM,,
AMLODIPINE 2.5 MG TABLET,PHRM,,
AMLODIPINE 5 MG TABLET,PHRM,,
AMMONIUM LACTATE 12 % LOTION,STR,,
AMOXICILLIN 250 MG CAPSULE,STR,,
AMOXICILLIN 250 MG/5 ML ORAL SUSPENSION,PHRM,FRG - 3,
AMOXICILLIN 250 MG-POTASSIUM CLAVULANATE 125 MG TABLET,STR,,
AMOXICILLIN 400 MG/5 ML ORAL SUSPENSION,STR,,
AMOXICILLIN 500 MG CAPSULE,STR,,
AMOXICILLIN 500 MG-POTASSIUM CLAVULANATE 125 MG TABLET,STR,,
AMOXICILLIN 600 MG-POTASSIUM CLAVULANATE 42.9 MG/5 ML ORAL SUSPENSION,STR,,
AMOXICILLIN 875 MG-POTASSIUM CLAVULANATE 125 MG TABLET,PHRM,,
AMPHOTERICIN B LIPOSOME IVPB,STR,,
AMPICILLIN 500 MG CAPSULE,STR,,
AMPICILLIN IV SYRINGE 100 MG/ML STERILE WATER MSW NICU,STR,,
AMPICILLIN IN NS 1 G/50 ML NS 0.9 % IVPB PYXIS MINIBAG,IV,,
AMPICILLIN IN NS 1.5 GRAM (AMPICILLIN IN NS 0.9%) IV SOLUTION FOR INJECTION,IV,,
AMPICILLIN IN NS 2 GRAM (AMPICILLIN IN NS 0.9%) IV SOLUTION FOR INJECTION,IV,,
AMPICILLIN IN NS 3 G (AMPICILLIN IN NS 0.9%) IN NS 0.9 % 100 ML IVPB PYXIS MINIBAG,IV,,
AMPICILLIN IN NS 6 G/240 ML NS ELASTOMERIC,STR,,
ANAGRELIDE 0.5 MG CAPSULE,STR,,
ANAKINRA 100 MG/0.67 ML SUBCUTANEOUS SYRINGE,STR,,
ANASTROZOLE 1 MG TABLET,STR,,
ANIFROLUMAB-FNIA INFUSION,STR,,
APALUTAMIDE 60 MG TABLET,STR,,
APIXABAN 2.5 MG TABLET,PHRM,PHRM,
APIXABAN 5 MG TABLET,PHRM,PHRM,
APREMILAST 30 MG TABLET,STR,,
APREPITANT 40 MG CAPSULE,STR,,
ARGATROBAN 1 MG/ML IN 0.9 % SODIUM CHLORIDE INTRAVENOUS SOLUTION,STR,,
ARGATROBAN INFUSION (ADULT),STR,,
ARIPIPRAZOLE 1 MG/ML ORAL SOLUTION,VIT,,
ARIPIPRAZOLE 10 MG TABLET,VIT,,
ARIPIPRAZOLE 15 MG TABLET,VIT,,
ARIPIPRAZOLE 2 MG TABLET,VIT,,
ARIPIPRAZOLE 20 MG TABLET,VIT,,
ARIPIPRAZOLE 30 MG TABLET,VIT,,
ARIPIPRAZOLE 5 MG TABLET,VIT,,
"ARIPIPRAZOLE ER (2 MONTH) 720 MG/2.4 ML SUSP, EXTENDED REL IM SYRINGE",STR,,
"ARIPIPRAZOLE ER 300 MG INTRAMUSCULAR SUSPENSION,EXTENDED RELEASE",STR,,
"ARIPIPRAZOLE ER 300 MG SUSPENSION, EXTENDED REL. INTRAMUSCULAR SYRINGE",STR,,
"ARIPIPRAZOLE ER 400 MG INTRAMUSCULAR SUSPENSION,EXTENDED RELEASE",STR,,
"ARIPIPRAZOLE ER 400 MG SUSPENSION, EXTENDED REL.INTRAMUSCULAR SYRINGE",STR,,
"ARIPIPRAZOLE LAUROXIL ER 1,064 MG/3.9 ML SUSPENSION,EXT.REL IM SYRINGE",STR,,
"ARIPIPRAZOLE LAUROXIL ER 662 MG/2.4 ML SUSPENSION, EXT.REL. IM SYRINGE",STR,,
"ARIPIPRAZOLE LAUROXIL ER 882 MG/3.2 ML SUSPENSION, EXT.REL. IM SYRINGE",STR,,
"ARIPIPRAZOLE LAUROXIL,SUBMIC. ER 675 MG/2.4 ML SUSP,EXT.REL.IM SYRINGE",STR,,
ARTEMETHER-LUMEFANTRINE 20 MG-120 MG TABLET (4 TABLET)(Q12),STR,,
ARTEMETHER-LUMEFANTRINE 20 MG-120 MG TABLET (4 TABLET)(Q8),STR,,
ARTIFICIAL TEARS(DEXTRAN-HYPROMEL-GLYCERN) 0.1 %-0.3 %-0.2 % EYE DROPS,STR,STR,
ASCORBIC ACID (VITAMIN C) 250 MG TABLET,VIT,,
ASCORBIC ACID (VITAMIN C) 500 MG CHEWABLE TABLET,VIT,,
ASCORBIC ACID (VITAMIN C) 500 MG TABLET,VIT,,
ASCORBIC ACID (VITAMIN C) 500 MG/ML INTRAVENOUS SOLUTION,VIT,,
ASPIRIN 1 MG/ML ORAL SOLUTION,STR,,
ASPIRIN 300 MG RECTAL SUPPOSITORY,STR,,
ASPIRIN 325 MG TABLET,VIT,,
"ASPIRIN 325 MG TABLET,DELAYED RELEASE",VIT,,
ASPIRIN 81 MG CHEWABLE TABLET,VIT,,Pharmacy Front - G
"ASPIRIN 81 MG TABLET,DELAYED RELEASE",VIT,,
ATAZANAVIR 200 MG CAPSULE,STR,,
ATENOLOL 100 MG TABLET,STR,,
ATENOLOL 12.5 MG HALF TABLET,STR,,
ATENOLOL 25 MG TABLET,STR,,
ATENOLOL 50 MG TABLET,STR,,
ATEZOLIZUMAB CHEMO INFUSION,STR,,
ATOMOXETINE 18 MG CAPSULE,STR,,
ATOMOXETINE 25 MG CAPSULE,STR,,
ATORVASTATIN 10 MG TABLET,PHRM,,
ATORVASTATIN 20 MG TABLET,PHRM,PHRM,
ATORVASTATIN 40 MG TABLET,PHRM,PHRM,
ATORVASTATIN 80 MG TABLET,PHRM,PHRM,
ATOVAQUONE 750 MG/5 ML ORAL SUSPENSION,STR,,
ATROPINE 0.1 MG/ML INJECTION SYRINGE,STR,,
ATROPINE 0.4 MG/ML INJECTION SOLUTION,STR,,
ATROPINE 0.4 MG/ML INTRAVENOUS SOLUTION,STR,,
ATROPINE 1 % EYE DROPS,STR,,
ATROPINE 1 MG/ML INJECTION SOLUTION,STR,,
ATROPINE 1 MG/ML INTRAVENOUS SOLUTION,STR,,
AZATHIOPRINE 50 MG TABLET,STR,,
AZELASTINE 0.05 % EYE DROPS,STR,,
AZELASTINE 137 MCG (0.1 %) NASAL SPRAY,STR,,
AZITHROMYCIN 200 MG/5 ML ORAL SUSPENSION,STR,,
AZITHROMYCIN 250 MG TABLET,STR,,
AZITHROMYCIN 500 MG TABLET,STR,,
AZITHROMYCIN 500 MG/250 ML IN NS IVPB,IV,,
AZITHROMYCIN IV SYRINGE 2 MG/ML D5W,STR,,
AZITHROMYCIN IVPB,IV,,
AZTREONAM 1 G IN 0.9 % SODIUM CHLORIDE 50 ML IVPB PYXIS MINIBAG,STR,,
AZTREONAM 1 G IN D5W 50 ML IVPB PYXIS MINIBAG,STR,,
AZTREONAM 2 G IN D5W 100 ML IVPB PYXIS MINIBAG,STR,,
AZTREONAM 2 G IN IN 0.9 % SODIUM CHLORIDE 100 ML IVPB PYXIS MINIBAG,STR,,
AZTREONAM 3 G/240 ML NS ELASTOMERIC,STR,,
BACITRACIN 500 UNIT/GRAM TOPICAL OINTMENT,STR,,
BACITRACIN 500 UNIT/GRAM TOPICAL PACKET,STR,,
BACITRACIN ZINC 500 UNIT/GRAM TOPICAL OINTMENT,STR,,
BACITRACIN ZINC 500 UNIT/GRAM TOPICAL OINTMENT IN PACKET,STR,,
BACLOFEN 10 MG TABLET,PHRM,,
BACLOFEN 5 MG TABLET,STR,,
BALFAXAR 2000 UNIT FIXED DOSE,STR,,
BALFAXAR INJECTION,STR,,
BARIUM SULFATE 24 % ORAL SUSPENSION,STR,,
"BARIUM SULFATE 40 % (W/V), 29 % (W/W) (1,500 CPS) ORAL SUSPENSION",STR,,
"BARIUM SULFATE 40 % (W/V), 30 % (W/W) ORAL SUSPENSION",STR,,
"BARIUM SULFATE 40 % (W/V), 30% (W/W) ORAL PASTE",STR,,
BARIUM SULFATE 60 % (W/V) ORAL SUSPENSION,STR,,
BARIUM SULFATE 700 MG TABLET,STR,,
BARIUM SULFATE 81 % (W/W) ORAL POWDER,STR,,
BARIUM SULFATE 96 % (W/W) ORAL POWDER FOR SUSPENSION,STR,,
BARIUM SULFATE 98 % ORAL POWDER FOR SUSPENSION,STR,,
BELIMUMAB IVPB,STR,,
BENZOCAINE 15 MG-MENTHOL 3.6 MG LOZENGES,VIT,,
BENZOCAINE 20 % MUCOSAL AEROSOL SPRAY,VIT,,
BENZOCAINE 20 % MUCOSAL SPRAY,VIT,,
BENZOCAINE 20 %-MENTHOL 0.5 % TOPICAL AEROSOL,VIT,,
BENZONATATE 100 MG CAPSULE,STR,,
BENZOYL PEROXIDE 5 % TOPICAL GEL,STR,,
BENZTROPINE 0.5 MG TABLET,PHRM,,
BENZTROPINE 1 MG TABLET,STR,,
BENZTROPINE 1 MG/ML INJECTION SOLUTION,STR,,
BENZTROPINE 2 MG TABLET,STR,,
BETAMETHASONE DIPROPIONATE 0.05 % TOPICAL CREAM,STR,,
BETAMETHASONE DIPROPIONATE 0.05 % TOPICAL OINTMENT,STR,,
BETAMETHASONE VALERATE 0.1 % TOPICAL OINTMENT,STR,,
BETHANECHOL CHLORIDE 10 MG TABLET,STR,,
BETHANECHOL CHLORIDE 25 MG TABLET,STR,,
BEVACIZUMAB-AWWB INFUSION,STR,,
BICALUTAMIDE 50 MG TABLET,STR,,
BICTEGRAVIR 50 MG-EMTRICITABINE 200 MG-TENOFOVIR ALAFENAM 25 MG TABLET,VIT,,
BIMATOPROST 0.01 % EYE DROPS,STR,,
BIMEKIZUMAB-BKZX 160 MG/ML SUBCUTANEOUS AUTO-INJECTOR,STR,,
BIMEKIZUMAB-BKZX 320 MG/2 ML SUBCUTANEOUS SYRINGE,STR,,
BISACODYL 10 MG RECTAL SUPPOSITORY,STR,,
"BISACODYL 5 MG TABLET,DELAYED RELEASE",STR,,
BISMUTH SUBSALICYLATE 262 MG/15 ML ORAL SUSPENSION,STR,,
BISOPROLOL FUMARATE 5 MG TABLET,STR,,
BIVALIRUDIN 250 MG INTRAVENOUS POWDER FOR SOLUTION,STR,,
BIVALIRUDIN INFUSION,STR,,
BORTEZOMIB INJECTION 2.5 MG/ML NS,STR,,
BREXPIPRAZOLE 0.5 MG TABLET,STR,,
BRIMONIDINE 0.1 % EYE DROPS,STR,,
BRIMONIDINE 0.2 % EYE DROPS,STR,,
"BRINZOLAMIDE 1 % EYE DROPS,SUSPENSION",STR,,
BRIVARACETAM 100 MG TABLET,VAULT,,
BRIVARACETAM 25 MG TABLET,VAULT,,
BRIVARACETAM 50 MG TABLET,VAULT,,
BRIVARACETAM 50 MG/5 ML INTRAVENOUS SOLUTION,VAULT,,
BROMOCRIPTINE 2.5 MG TABLET,STR,,
BUDESONIDE 0.25 MG/2 ML SUSPENSION FOR NEBULIZATION,VIT,,
BUDESONIDE 0.5 MG/2 ML SUSPENSION FOR NEBULIZATION,VIT,,
BUDESONIDE 160 MCG-GLYCOPYR 9 MCG-FORMOT 4.8 MCG/ACTUATION HFA INHALER,VIT,,
BUDESONIDE 180 MCG/ACTUATION BREATH ACTIVATED POWDER INHALER,VIT,,
"BUDESONIDE DR - ER 3 MG CAPSULE,DELAYED,EXTENDED RELEASE",STR,,
BUDESONIDE-FORMOTEROL HFA 160 MCG-4.5 MCG/ACTUATION AEROSOL INHALER,VIT,,
BUDESONIDE-FORMOTEROL HFA 80 MCG-4.5 MCG/ACTUATION AEROSOL INHALER,VIT,,
BUMETANIDE 0.25 MG/ML INJECTION SOLUTION,STR,,
BUMETANIDE 0.5 MG TABLET,STR,,
BUMETANIDE 1 MG TABLET,STR,,
BUMETANIDE 2 MG TABLET,STR,,
BUMETANIDE INFUSION,STR,,
BUPIVACAINE (PF) 0.25 % (2.5 MG/ML) INJECTION SOLUTION,STR,,
BUPIVACAINE (PF) 0.5 % (5 MG/ML) INJECTION SOLUTION,STR,,
BUPIVACAINE (PF) 0.75 % (7.5 MG/ML) IN 8.25 % DEXTROSE INJECTION,STR,,
BUPIVACAINE 0.1% IN NS (PF) 150 ML EPIDURAL - MSLW,STR,,
BUPIVACAINE 0.1% IN NS (PF) 150 ML NERVE BLOCK - MSLW,STR,,
BUPIVACAINE 0.125 % IN 400 ML NS ANESTHESIA BOLUS SLW,STR,,
BUPIVACAINE HCL 0.5 % (5 MG/ML) INJECTION SOLUTION,STR,,
BUPIVACAINE LIPOSOME(PF) 1.3 %(13.3 MG/ML) SUSPENSION FOR INFILTRATION,STR,,
"BUPIVACAINE-EPINEPHRINE (PF) 0.25 %-1:200,000 INJECTION SOLUTION",STR,,
BUPRENORPHINE 10 MCG/HOUR WEEKLY TRANSDERMAL PATCH,VAULT,,
BUPRENORPHINE 2 MG-NALOXONE 0.5 MG SUBLINGUAL FILM,VAULT,,
BUPRENORPHINE 4 MG-NALOXONE 1 MG SUBLINGUAL FILM,VAULT,,
BUPRENORPHINE 5 MCG/HOUR WEEKLY TRANSDERMAL PATCH,VAULT,,
BUPRENORPHINE 8 MG-NALOXONE 2 MG SUBLINGUAL FILM,VAULT,,
BUPRENORPHINE HCL 0.5 MG SUBLINGUAL TABLET,VAULT,,
BUPRENORPHINE HCL 1 MG SUBLINGUAL TABLET,VAULT,,
BUPRENORPHINE HCL 2 MG SUBLINGUAL TABLET,VAULT,,
BUPRENORPHINE HCL 2 MG SUBLINGUAL TABLET DETOX,VAULT,,
BUPRENORPHINE HCL 8 MG SUBLINGUAL TABLET,VAULT,,
BUPROPION HCL 100 MG TABLET,PHRM,,
BUPROPION HCL 75 MG TABLET,PHRM,,
"BUPROPION HCL XL 150 MG 24 HR TABLET, EXTENDED RELEASE",PHRM,,
"BUPROPION HCL XL 300 MG 24 HR TABLET, EXTENDED RELEASE",PHRM,,
BUSPIRONE 15 MG TABLET,PHRM,,
BUSPIRONE 5 MG TABLET,PHRM,,
BUTALBITAL-ACETAMINOPHEN-CAFFEINE 50 MG-325 MG-40 MG TABLET,PHRM,,
CABAZITAXEL CHEMO INFUSION,STR,,
CABERGOLINE 0.5 MG TABLET,STR,,
"CABOTEGRAVIR ER 400 MG/2 ML-RILPIVIRINE ER 600 MG/2ML IM SUSPENSION,ER",STR,,
"CABOTEGRAVIR ER 600 MG/3 ML (200 MG/ML) IM SUSPENSION,EXTENDED RELEASE",STR,,
"CABOTEGRAVIR ER 600 MG/3 ML-RILPIVIRINE ER 900 MG/3ML IM SUSPENSION,ER",STR,,
CABOZANTINIB 20 MG TABLET,STR,,
CALAMINE 8 %-ZINC OXIDE 8 % LOTION,STR,,
CALCITONIN (SALMON) 200 UNIT/ACTUATION NASAL SPRAY,STR,,
CALCITONIN (SALMON) 200 UNIT/ML INJECTION SOLUTION,STR,,
CALCITRIOL 0.25 MCG CAPSULE,STR,,
CALCITRIOL 0.5 MCG CAPSULE,STR,,
CALCITRIOL 1 MCG/ML ORAL SOLUTION,STR,,
CALCIUM 200 MG (AS CALCIUM CITRATE 950 MG) TABLET,VIT,,
"CALCIUM 500 MG (AS CALCIUM CARBONATE 1,250 MG) TABLET",VIT,,
CALCIUM 500 MG (AS CARBONATE)-VITAMIN D3 5 MCG (200 UNIT) TABLET,VIT,,
CALCIUM 500 MG/5 ML (AS CALCIUM CARB 1,250 MG/5 ML) ORAL SUSPENSION",VIT,,
CALCIUM ACETATE(PHOSPHATE BINDERS) 667 MG CAPSULE,PHRM,,
CALCIUM CHLORIDE 100 MG/ML (10 %) INTRAVENOUS SYRINGE,STR,,
CALCIUM CHLORIDE IVPB,IV,,
CALCIUM GLUCONATE IN ISOOMOTIC NS 1 GRAM/50 ,IV,,
CALCIUM GLUCONATE 10 G IN SODIUM CHLORIDE 0.9 % 500 ML INF,IV,,
CALCIUM GLUCONATE IVPB,IV,,
CANGRELOR 0.2 MG/ML NS 0.9 % BOLUS FROM BAG,STR,,
CANGRELOR 50 MG INTRAVENOUS SOLUTION,STR,,
CANGRELOR INFUSION,STR,,
CANNABIDIOL 100 MG/ML ORAL SOLUTION,VAULT,,
CAPSAICIN 0.025 % TOPICAL CREAM,STR,,
CAPSAICIN 0.075 % TOPICAL CREAM,STR,,
CAPTOPRIL 12.5 MG TABLET,STR,,
CAPTOPRIL 25 MG TABLET,STR,,
CARBAMAZEPINE 200 MG TABLET,STR,,
"CARBAMAZEPINE ER 200 MG TABLET,EXTENDED RELEASE,12 HR",STR,,
"CARBAMAZEPINE ER 400 MG TABLET,EXTENDED RELEASE,12 HR",STR,,
CARBAMIDE PEROXIDE 6.5 % EAR DROPS,STR,,
CARBIDOPA 10 MG-LEVODOPA 100 MG TABLET,STR,,
CARBIDOPA 12.5 MG-LEVODOPA 50 MG HALF TABLET,PHRM,,
CARBIDOPA 25 MG TABLET,STR,,
CARBIDOPA 25 MG-LEVODOPA 100 MG TABLET,PHRM,,
CARBIDOPA 25 MG-LEVODOPA 250 MG TABLET,STR,,
CARBIDOPA 31.25 MG-LEVODOPA 125 MG-ENTACAPONE 200 MG TABLET,STR,,
"CARBIDOPA 52.5 MG-LEVODOPA ER 210 MG CAPSULE,IMMED AND EXTEND RELEASE",STR,,
"CARBIDOPA ER 25 MG-LEVODOPA 100 MG TABLET,EXTENDED RELEASE",STR,,
"CARBIDOPA ER 36.25 MG-LEVODOPA 145 MG CAPSULE,EXTENDED RELEASE",STR,,
"CARBIDOPA ER 50 MG-LEVODOPA 200 MG TABLET,EXTENDED RELEASE",STR,,
CARBOPLATIN INFUSION (AUC),STR,,
CARBOPROST TROMETHAMINE 250 MCG/ML INTRAMUSCULAR SOLUTION,STR,,
CARBOXYMETHYLCELLULOSE 0.5 %-GLYCERIN 0.9 % EYE DROPS,STR,,
CARBOXYMETHYLCELLULOSE SODIUM 0.5 % EYE DROPS,STR,,
CARBOXYMETHYLCELLULOSE SODIUM 1 % EYE GEL IN A DROPPERETTE,STR,,
CARFILZOMIB INFUSION,STR,,
CARIPRAZINE 1.5 MG CAPSULE,STR,,
CARIPRAZINE 3 MG CAPSULE,STR,,
CARIPRAZINE 6 MG CAPSULE,STR,,
CARTEOLOL 1 % EYE DROPS,STR,,
CARVEDILOL 12.5 MG TABLET,PHRM,,
CARVEDILOL 25 MG TABLET,PHRM,,
CARVEDILOL 3.125 MG TABLET,PHRM,,
CARVEDILOL 6.25 MG TABLET,PHRM,,
CASPOFUNGIN 150 MG IN 300 ML NS IVPB,STR,,
CASPOFUNGIN IVPB,STR,,
CASPOFUNGIN IVPB 70 MG IN 250 ML NS PYXIS MINIBAG,STR,,
CEFAZOLIN 1 G IV IN NS,IV,,
CEFAZOLIN 1 GRAM SOLUTION FOR INJECTION,PHRM,,
CEFAZOLIN IN DSW 1 GRAM/50 ML IVPB,IV,,
CEFAZOLIN 1 GRAM/50 ML IN DEXTROSE (ISO-OSMOTIC) INTRAVENOUS PIGGYBACK,IV,,
CEFAZOLIN 1G IV IN D5W,IV,,
CEFAZOLIN IN DEXTROSE 1 G,IV,,
CEFAZOLIN IN DEXTROSE 2 G,IV,,
CEFAZOLIN 2 GRAM SOLUTION FOR INJECTION,STR,,
CEFAZOLIN 2 GRAM/50 ML IN DEXTROSE (ISO-OSMOTIC) INTRAVENOUS PIGGYBACK,STR,,
CEFAZOLIN 3 G/240 ML NS ELASTOMERIC,STR,,
CEFAZOLIN 500 MG SOLUTION FOR INJECTION,STR,,
CEFAZOLIN 6 G/240 ML NS ELASTOMERIC,STR,,
CEFAZOLIN IV SYRINGE 20 MG/ML NS,STR,,
CEFEPIME 1 G IN NS 50 ML IVPB,IV,,
CEFEPIME 1 G IVPB,IV,,
CEFEPIME in NS (MAXIPIME IN NS (ADDEASE)) 2 g (100 mL) bag,IV,,
CEFEPIME 2 G IN 100 ML NS IVPB MINIBAG PLUS,IV,,
CEFEPIME 2 GRAM SOLUTION FOR INJECTION,IV,,
CEFEPIME 6 G/240 ML NS ELASTOMERIC,STR,,
CEFIDEROCOL 1 G IN 112 ML NS IVPB,STR,,
CEFIDEROCOL 2 G IN 123 ML NS IVPB,STR,,
CEFPODOXIME 100 MG TABLET,STR,,
CEFPODOXIME 100 MG/5 ML ORAL SUSPENSION,STR,,
CEFPODOXIME 200 MG TABLET,PHRM,,
CEFTAROLINE FOSAMIL IVPB,STR,,
CEFTAZIDIME 1 G IVPB PYXIS MINIBAG,STR,,
CEFTAZIDIME 2 G IVPB PYXIS MINIBAG,STR,,
CEFTAZIDIME-AVIBACTAM IVPB,STR,,
CEFTOLOZANE-TAZOBACTAM 9 G/240 ML NS ELASTOMERIC,STR,,
CEFTOLOZANE-TAZOBACTAM IVPB,STR,,
CEFTRIAXONE 1 G IN 50 ML NS IVPB MINIBAG PLUS,STR,,
CEFTRIAXONE IN DSW 1 G/50 ML IVPB PYXIS MINIBAG,IV,,
CEFTRIAXONE IN DSW 2 G IN 50 ML IVPB MINIBAG PLUS,IV,,
CEFTRIAXONE IN DSW 2 GM/100 ML IVPB,IV,,
CEFTRIAXONE IN DSW 2 GM/50 ML IVPB PYXIS MINIBAG,IV,,
CEFTRIAXONE IN DSW 2 GRAM/50 ML IVPB (ADD-EASE),IV,,
CEFTRIAXONE IN DSW 500 MG SOLUTION FOR INJECTION,STR,,
CEFTRIAXONE IV SYRINGE 40 MG/ML D5W MSW NICU,STR,,
CEFTRIAXONE IV SYRINGE 40 MG/ML NS,STR,,
CEFTRIAXONE IV SYRINGE 40 MG/ML NS (PEDS ED),STR,,
"CEFTRIAXONE-LIDOCAINE 1,000 MG-10 MG/ML (1 %) (STI ORDERS) - NON-MSH/MSQ",STR,,
